Player,Opp,GP,Yds,TD,Int,RUSH YDS,RUSH TDS,REC TDS,REC TDS,FumTD,2PT,FL,Points
Joe Williams,CAR,16,-,-,-,206,1,74,-,-,-,-,38.0
Tarik Cohen,ATL,16,-,-,-,205,1,71,-,-,-,-,37.0
Branden Oliver,@DEN,16,-,-,-,189,1,107,-,-,-,-,37.0
Lorenzo Taliaferro,@CIN,16,-,-,-,180,1,77,-,-,-,-,35.0
Kenneth Farrow,@DEN,16,-,-,-,197,1,67,-,-,-,-,34.0
Dwayne Washington,ARI,16,-,-,-,204,1,64,-,-,-,-,34.0
J.D. McKissic,@GB,16,-,-,-,153,1,94,-,-,-,-,33.0
Alfred Morris,NYG,16,-,-,-,213,1,36,-,-,-,-,32.0
Zach Zenner,ARI,16,-,-,-,166,1,63,-,-,-,-,32.0
Kenyan Drake,TB,16,-,-,-,162,1,56,-,-,-,-,29.0
Jonathan Williams,NYJ,16,-,-,-,174,1,36,-,-,-,-,29.0
Lance Dunbar,IND,16,-,-,-,40,-,168,-,-,-,-,26.0
Kyle Juszczyk,CAR,16,-,-,-,8,-,211,-,-,-,-,26.0
Knile Davis,@CLE,16,-,-,-,134,-,50,-,-,-,-,24.0
Ka'Deem Carey,ATL,16,-,-,-,125,-,47,-,-,-,-,23.0
Malcolm Brown,IND,16,-,-,-,134,-,39,-,-,-,-,22.0
Akeem Hunt,JAX,16,-,-,-,90,-,76,-,-,-,-,21.0
Corey Grant,@HOU,16,-,-,-,118,-,37,-,-,-,-,20.0
Josh Ferguson,@LA,16,-,-,-,82,-,58,-,-,-,-,19.0
Joe Banyard,NYJ,16,-,-,-,106,-,27,-,-,-,-,17.0
Patrick DiMarco,NYJ,16,-,-,-,1,-,111,-,-,-,-,14.0
John Kuhn,@MIN,16,-,-,-,25,-,64,-,-,-,-,12.0
Sam Rogers,IND,16,-,-,-,27,-,58,-,-,-,-,11.0
Fitzgerald Toussaint,@CLE,16,-,-,-,51,-,19,-,-,-,-,9.0
C.J. Ham,NO,16,-,-,-,18,-,46,-,-,-,-,8.0
Tyler Ervin,JAX,16,-,-,-,28,-,30,-,-,-,-,7.0
Jamize Olawale,@TEN,16,-,-,-,16,-,42,-,-,-,-,7.0
James Develin,KC,16,-,-,-,-,-,45,-,-,-,-,5.0
Andy Janovich,LAC,16,-,-,-,6,-,36,-,-,-,-,5.0
Doug Martin,@MIA,2,-,-,-,35,-,6,-,-,-,-,5.0
Jay Prosch,JAX,16,-,-,-,12,-,31,-,-,-,-,5.0
Anthony Sherman,@NE,16,-,-,-,1,-,31,-,-,-,-,4.0
Derek Watt,@DEN,16,-,-,-,9,-,21,-,-,-,-,4.0
Marcus Murphy,@BUF,16,-,-,-,5,-,17,-,-,-,-,2.0
Jalston Fowler,OAK,16,-,-,-,1,-,14,-,-,-,-,1.0
Javorius Allen,@CIN,-,-,-,-,-,-,-,-,-,-,-,0.0
Cameron Artis-Payne,@SF,-,-,-,-,-,-,-,-,-,-,-,0.0
Peyton Barber,@MIA,-,-,-,-,-,-,-,-,-,-,-,0.0
Kenjon Barner,@DEN,-,-,-,-,-,-,-,-,-,-,-,0.0
Kapri Bibbs,CAR,-,-,-,-,-,-,-,-,-,-,-,0.0
Brandon Bolden,KC,-,-,-,-,-,-,-,-,-,-,-,0.0
Matt Breida,CAR,-,-,-,-,-,-,-,-,-,-,-,0.0
Mack Brown,PHI,-,-,-,-,-,-,-,-,-,-,-,0.0
Travaris Cadet,@MIN,-,-,-,-,-,-,-,-,-,-,-,0.0
Chris Carson,@GB,-,-,-,-,-,-,-,-,-,-,-,0.0
Tra Carson,BAL,-,-,-,-,-,-,-,-,-,-,-,0.0
Corey Clement,@WAS,-,-,-,-,-,-,-,-,-,-,-,0.0
David Cobb,Bye,-,-,-,-,-,-,-,-,-,-,-,0.0
Alex Collins,@GB,-,-,-,-,-,-,-,-,-,-,-,0.0
John Crockett,@TEN,-,-,-,-,-,-,-,-,-,-,-,0.0
Orleans Darkwa,@DAL,-,-,-,-,-,-,-,-,-,-,-,0.0
Justin Davis,IND,-,-,-,-,-,-,-,-,-,-,-,0.0
Mike Davis,@GB,-,-,-,-,-,-,-,-,-,-,-,0.0
Kenneth Dixon,@CIN,-,-,-,-,-,-,-,-,-,-,-,0.0
Shaun Draughn,@DAL,-,-,-,-,-,-,-,-,-,-,-,0.0
Austin Ekeler,@DEN,-,-,-,-,-,-,-,-,-,-,-,0.0
Andre Ellington,@DET,-,-,-,-,-,-,-,-,-,-,-,0.0
