Player,Opp,GP,Yds,TD,Int,Yds.1,TD.1,REC YDS,REC TDS,FumTD,2PT,FL,Points
Levine Toilolo,@CHI,16,-,-,-,7,-,105,-,-,-,-,11.0
Stephen Anderson,JAX,16,-,-,-,3,-,94,-,-,-,-,9.0
Anthony Fasano,TB,16,-,-,-,-,-,91,-,-,-,-,9.0
Jeff Heuerman,LAC,16,-,-,-,5,-,89,-,-,-,-,9.0
Ben Koyack,@HOU,16,-,-,-,4,-,87,-,-,-,-,9.0
Gavin Escobar,@NE,16,-,-,-,2,-,85,-,-,-,-,8.0
Niles Paul,PHI,16,-,-,-,1,-,79,-,-,-,-,8.0
Blake Bell,CAR,16,-,-,-,1,-,78,-,-,-,-,7.0
Geoff Swaim,NYG,16,-,-,-,4,-,71,-,-,-,-,7.0
Nick Vannett,@GB,16,-,-,-,4,-,67,-,-,-,-,7.0
Xavier Grimble,@CLE,16,-,-,-,4,-,65,-,-,-,-,6.0
Chris Manhertz,@SF,16,-,-,-,3,-,58,-,-,-,-,6.0
Nick O'Leary,NYJ,16,-,-,-,4,-,56,-,-,-,-,6.0
Luke Stocker,@MIA,16,-,-,-,-,-,62,-,-,-,-,6.0
David Johnson,@CLE,16,-,-,-,-,-,55,-,-,-,-,5.0
Tyler Kroft,BAL,16,-,-,-,3,-,48,-,-,-,-,5.0
Ryan Hewitt,BAL,16,-,-,-,2,-,45,-,-,-,-,4.0
Randall Telfer,PIT,16,-,-,-,3,-,40,-,-,-,-,4.0
Hakeem Valles,@DET,16,-,-,-,2,-,40,-,-,-,-,4.0
MarQueis Gray,TB,16,-,-,-,1,-,33,-,-,-,-,3.0
Troy Niklas,@DET,16,-,-,-,2,-,35,-,-,-,-,3.0
James O'Shaughnessy,KC,16,-,-,-,3,-,33,-,-,-,-,3.0
Lee Smith,@TEN,16,-,-,-,-,-,38,-,-,-,-,3.0
Sean McGrath,@DEN,16,-,-,-,2,-,23,-,-,-,-,2.0
Brandon Williams,@LA,16,-,-,-,-,-,19,-,-,-,-,1.0
Mo Alie-Cox,Bye,-,-,-,-,-,-,-,-,-,-,-,0.0
Kennard Backman,Bye,-,-,-,-,-,-,-,-,-,-,-,0.0
